RowIndex,Reason,OriginalRow
2,Actual vrednost je prazna ili NaN,"2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
3,Actual vrednost je prazna ili NaN,"2014-12-31T23:30:00Z,2015-01-01T00:30:00+0100,,,,,,2664.0000,,,11554.0000,,,4040.0000,,,7514.0000,,,,,,659.0000,,,,2664.0000,,12212.0000,,4040.0000,,8173.0000,,,,,,,,"
4,Actual vrednost je prazna ili NaN,"2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,,,,2669.0000,,,11555.0000,,,4040.0000,,,7516.0000,,,,,,659.0000,,,,2669.0000,,12214.0000,,4040.0000,,8174.0000,,,,,,,,"
